title,company,location,source,query_family,matched_query,date_posted,date_expires,stale_hint,category,type,confidence,match_reason,summary,link,qualification,interest_level,review_rank,review_comments,next_action,last_reviewed
UAV Modeling & Simulation Engineer,Shearwater Aerospace,"Montreal, Quebec, ca",talent,operations,uav operator,02/19/2026,,old,film,unknown,0.95,"family terms: flight, operator, pilot, uav; drone terms: drone, uav; job terms: operator, pilot; source=talent; query_family=operations; drone term in title/company; core term in title; core drone/uav signal; required role term in title","We're Building Autonomous Flight Intelligence Drones that think for themselves. Not pre-programmed routes-true autonomy where aircraft make intelligent decisions onboard, adapting to weather, obstacles, and airspace in real-time without human intervention. We're building weather-aware flight optimization that delivers outcome-driven autonomy for the real world-increasing mission success by extending range, endurance, safety, and reliability. You'll build the simulation engine that makes this pos",https://ca.talent.com/view?id=607351693525198715,unreviewed,unknown,,,,
RPAS Platform Engineering Specialist,MDA,"Richmond, British Columbia, ca",talent,operations,rpas pilot,01/27/2026,,old,general,unknown,0.95,"family terms: pilot, rpas; drone terms: geospatial, rpas; job terms: apply, job, pilot; source=talent; query_family=operations; drone term in title/company; core term in title; core drone/uav signal; required role term in title","Job Details Description About MDA: Building the space between proven and possible, MDA Space (TSX:MDA) is a trusted mission partner to the global space industry. A robotics, satellite systems and geointelligence pioneer with a 55-year+ story of world firsts and more than 450 missions, MDA Space is a global leader in communications satellites, Earth and space observation, and space exploration and infrastructure. The MDA Space team of more than 3,800 space experts in Canada, the US and the UK has",https://ca.talent.com/view?id=587629894895601222,unreviewed,unknown,,,,
Embedded Software Engineer - Unmanned Systems (UAVs),NOETIQ EDGE,"Vancouver, British Columbia, ca",talent,mapping,uav mapping,03/25/2026,,,general,contract,0.95,"family terms: lidar; drone terms: drone, lidar, uav; job terms: job, pilot; source=talent; query_family=mapping; drone term in title/company; core term in title; core drone/uav signal; required role term in title","Job Title: Embedded Software Engineer - Unmanned Systems (UAVs) Company Overview: Noetiq Edge is a strategic consulting firm based in Canada that provides insights and talent expertise to firms across multiple industries including Finance, Supply Chain, Defence, Retail, Healthcare, and High-Tech. We establish trusted partnerships with organizations to ensure they have the strategy, information, technology, and talent required to succeed in a dynamic world. Job Description: Our client is currentl",https://ca.talent.com/view?id=612172319540580003,unreviewed,unknown,,,,
sUAS Flight Operator (FTC),Wing,"Dallas, Texas",greenhouse,operations,remote pilot,03/05/2026,,old,mapping,contract,0.95,"job-like URL; family terms: flight, operator, pilot, uas; drone terms: drone, uas; job terms: career, hiring, operator, pilot; source=greenhouse; query_family=operations; drone context phrase; drone term in title/company; core term in title; core drone/uav signal; required role term in title","About Wing: Wing offers drone delivery as a safe, fast, and sustainable solution for last mile logistics. Consumer appetites for on-demand services are increasing, but current delivery methods are inefficient, costly, and contribute to road accidents and air pollution. Wings fleet of highly automated delivery drones can transport small packages directly from businesses to homes on-demand, in minutes. We design, build, and operate our aircraft, and offer drone delivery services on two cont",https://wing.com/careers/7674004002?gh_jid=7674004002,unreviewed,unknown,,,,
Drone Operator,Shield AI,Tokyo,lever,operations,drone pilot,02/08/2026,,old,general,unknown,0.95,"job-like URL; family terms: flight, operator; drone terms: drone; job terms: apply, job, operator; source=lever; query_family=operations; drone term in title/company; core term in title; core drone/uav signal; required role term in title","Founded in 2015, Shield AI is a venture-backed deep-tech company with the mission of protecting service members and civilians with intelligent systems. Its products include the V-BAT and X-BAT aircraft, Hivemind Enterprise, and the Hivemind Vision product lines. With offices and facilities across the U.S., Europe, the Middle East, and the Asia-Pacific, Shield AIs technology actively supports operations worldwide. For more information, visit www.shield.ai. Follow Shield AI on LinkedIn, X, Instag",https://jobs.lever.co/shieldai/17c8f26e-d930-4a3f-b790-6019fde7a13e,unreviewed,unknown,,,,
Drone Operator (R4428),Shield AI,Kyiv,lever,operations,drone pilot,01/24/2026,,old,general,unknown,0.95,"job-like URL; family terms: operator, pilot; drone terms: drone; job terms: job, operator, pilot; source=lever; query_family=operations; drone term in title/company; core term in title; core drone/uav signal; required role term in title","Founded in 2015, Shield AI is a venture-backed deep-tech company with the mission of protecting service members and civilians with intelligent systems. Its products include the V-BAT and X-BAT aircraft, Hivemind Enterprise, and the Hivemind Vision product lines. With offices and facilities across the U.S., Europe, the Middle East, and the Asia-Pacific, Shield AIs technology actively supports operations worldwide. For more information, visit www.shield.ai. Follow Shield AI on LinkedIn, X, Instag",https://jobs.lever.co/shieldai/d9e03800-123d-4a15-a0c9-514c16e54780,unreviewed,unknown,,,,
PlaySpace Inspector/Drone Pilot,Quantum Recreation,"Toronto, ON, CA",simplyhired,operations,drone pilot,04/23/2026,,,general,part-time,0.95,"job-like URL; family terms: pilot; drone terms: drone; job terms: apply, hiring, inspector, job, pilot; source=simplyhired; query_family=operations; drone context phrase; drone term in title/company; core term in title; core drone/uav signal; required role term in title","Job Title: PlaySpace Inspector/Drone Pilot (Part-Time, Expanding to Full-Time in Summer) Location: Toronto Job Type: Part-Time 5-10 hours/week (March-April) | Full-Time (May -End of August) Start Date: March 2026 Are you a university student looking for a unique outdoor job? Do you enjoy exploring different areas of Ontario, or even Canada? Were hiring Playground Inspectors to join our team! No experience is required-just a willingness to travel, work outdoors, and learn. What You'll Do: Travel",https://www.simplyhired.ca/job/8wi5YJHpTA-fxluocTPmAuYAaIJ8p6hmx4SGjQcEiLYjFbBJ1n1k9w,unreviewed,unknown,,,,
Drone Pilot,Siemens Gamesa,"Oakville, ON, CA",simplyhired,operations,drone pilot,10/14/2025,,old,media,unknown,0.95,"job-like URL; family terms: pilot; drone terms: drone; job terms: career, hiring, job, pilot; source=simplyhired; query_family=operations; drone term in title/company; core term in title; core drone/uav signal; required role term in title","A Snapshot of Your Day This position is accountable for repairing, installing, and inspecting electronics or electronic systems as directed through verbal or written directions, diagrams, drawings, or specifications. It also maintains and makes necessary operating adjustments to the organization's electronic systems. Planning, performing, and reporting on drivetrain (gearbox, main shaft, main bearing, generator bearings, etc.) inspections and repairs. This position is also accountable for troubl",https://www.simplyhired.ca/job/XSOsAUGnFhkyuwDADhZSaJ29npGZVUI8UpEFBK2mwKtUDhTJUxSlqg,unreviewed,unknown,,,,
UAV Operations Coordinator - Drone & Cell Tower Inspection,PBX Technologies Inc.,"Mississauga, ON, CA",simplyhired,operations,drone pilot,04/09/2026,,,mapping,contract,0.95,"job-like URL; family terms: flight, pilot, uav; drone terms: aerial, drone, lidar, uav; job terms: job, pilot; source=simplyhired; query_family=operations; drone context phrase; drone term in title/company; core term in title; core drone/uav signal; required role term in title","We are seeking a highly skilled Operations Coordinator- UAV to support and oversee drone-based data capture operations for telecom infrastructure projects. This role combines field coordination, flight operations oversight, train new pilots, safety compliance, and data management to ensure the successful execution of cell tower inspections and reality capture projects. Key Responsibilities Coordinate daily drone operations for telecom site inspections across multiple locations Plan and manage si",https://www.simplyhired.ca/job/dYKAjTrbL9CI_ZRLJVgdF8qQvVENKFFhrjXY4Gqo7_TMSb0zJzby2g,unreviewed,unknown,,,,
Drone Pilots,Shambhala Music Festival,"Salmo, BC, CA",simplyhired,operations,drone pilot,03/11/2026,,old,general,unknown,0.95,"job-like URL; family terms: flight, pilot, rpas; drone terms: aerial, drone, rpas; job terms: job, pilot; source=simplyhired; query_family=operations; drone context phrase; drone term in title/company; core term in title; core drone/uav signal; required role term in title","Ready to support festival operations from above? Join the Crew at Shambhala Music Festival as an Advanced Drone Pilot! Position Dates: Drone Pilot positions work during the festival week from Jul. 20-27, 2026, on the event site near Salmo, BC. The Advanced Drone Pilot plays a key role in providing aerial support for on-the-ground teams, management, and dispatch. Theyll assist in situational awareness, crowd monitoring, emergency response coordination, and help us see what cant be seen from the",https://www.simplyhired.ca/job/6iIxRVCGp-0umbjdvHzBU8X9PIId8XytMAP6ntgoj7ismaw_fDqANw,unreviewed,unknown,,,,
